tanggal,jenis_transaksi,kategori_transaksi,jumlah,keterangan
2024-08-16,Pengeluaran,listrik,273442,Pengeluaran - listrik
2024-04-09,Pengeluaran,bahan baku,53634,Pengeluaran - bahan baku
2024-03-26,Pemasukan,penjualan,137797,Pemasukan - penjualan
2024-08-07,Pengeluaran,listrik,151415,Pengeluaran - listrik
2024-12-13,Pengeluaran,perlengkapan,462586,Pengeluaran - perlengkapan
2024-12-10,Pemasukan,penjualan,322696,Pemasukan - penjualan
2024-05-08,Pengeluaran,listrik,134366,Pengeluaran - listrik
2024-08-23,Pengeluaran,bahan baku,185605,Pengeluaran - bahan baku
2024-03-30,Pemasukan,penjualan,15058,Pemasukan - penjualan
2024-06-21,Pengeluaran,transportasi,191344,Pengeluaran - transportasi
2024-05-05,Pemasukan,penjualan,184534,Pemasukan - penjualan
2024-11-27,Pemasukan,penjualan,95562,Pemasukan - penjualan
2024-06-09,Pengeluaran,gaji,23432,Pengeluaran - gaji
2024-12-13,Pemasukan,penjualan,46942,Pemasukan - penjualan
2024-12-19,Pemasukan,penjualan,172420,Pemasukan - penjualan
2024-02-27,Pengeluaran,perlengkapan,276462,Pengeluaran - perlengkapan
2024-12-30,Pengeluaran,gaji,105313,Pengeluaran - gaji
2024-03-16,Pengeluaran,gaji,51231,Pengeluaran - gaji
2024-06-02,Pemasukan,penjualan,43006,Pemasukan - penjualan
2024-10-22,Pemasukan,penjualan,316314,Pemasukan - penjualan
2024-12-27,Pemasukan,penjualan,278910,Pemasukan - penjualan
2024-06-21,Pemasukan,penjualan,336756,Pemasukan - penjualan
2024-09-17,Pengeluaran,perlengkapan,461481,Pengeluaran - perlengkapan
2024-12-16,Pengeluaran,perlengkapan,409381,Pengeluaran - perlengkapan
2024-04-02,Pemasukan,penjualan,121096,Pemasukan - penjualan
2024-12-21,Pengeluaran,perlengkapan,94199,Pengeluaran - perlengkapan
2024-09-17,Pemasukan,penjualan,80683,Pemasukan - penjualan
2024-03-17,Pemasukan,penjualan,117517,Pemasukan - penjualan
2024-12-21,Pengeluaran,listrik,129137,Pengeluaran - listrik
2024-01-30,Pengeluaran,gaji,391982,Pengeluaran - gaji
2024-06-10,Pemasukan,penjualan,144231,Pemasukan - penjualan
2024-02-03,Pengeluaran,listrik,34287,Pengeluaran - listrik
2024-02-15,Pengeluaran,bahan baku,85335,Pengeluaran - bahan baku
2024-10-25,Pemasukan,penjualan,147784,Pemasukan - penjualan
2024-02-11,Pengeluaran,bahan baku,318343,Pengeluaran - bahan baku
2024-06-06,Pengeluaran,bahan baku,357654,Pengeluaran - bahan baku
2024-03-28,Pengeluaran,perlengkapan,26856,Pengeluaran - perlengkapan
2024-07-09,Pengeluaran,bahan baku,450338,Pengeluaran - bahan baku
2024-05-13,Pemasukan,penjualan,237559,Pemasukan - penjualan
2024-04-24,Pemasukan,penjualan,372692,Pemasukan - penjualan
2024-09-03,Pemasukan,penjualan,302161,Pemasukan - penjualan
2024-01-05,Pengeluaran,bahan baku,105848,Pengeluaran - bahan baku
2024-01-03,Pemasukan,penjualan,257747,Pemasukan - penjualan
2024-01-22,Pengeluaran,gaji,462044,Pengeluaran - gaji
2024-05-27,Pemasukan,penjualan,174278,Pemasukan - penjualan
2024-01-13,Pengeluaran,transportasi,440402,Pengeluaran - transportasi
2024-06-10,Pemasukan,penjualan,29849,Pemasukan - penjualan
2024-03-05,Pemasukan,penjualan,267308,Pemasukan - penjualan
2024-02-26,Pengeluaran,transportasi,317829,Pengeluaran - transportasi
2024-12-23,Pengeluaran,bahan baku,53498,Pengeluaran - bahan baku
2024-07-29,Pemasukan,penjualan,293733,Pemasukan - penjualan
2024-12-23,Pemasukan,penjualan,234454,Pemasukan - penjualan
2024-10-13,Pengeluaran,gaji,405781,Pengeluaran - gaji
2024-05-30,Pengeluaran,listrik,190898,Pengeluaran - listrik
2024-06-02,Pengeluaran,transportasi,182258,Pengeluaran - transportasi
2024-04-01,Pengeluaran,gaji,115821,Pengeluaran - gaji
2024-07-01,Pengeluaran,gaji,113283,Pengeluaran - gaji
2024-04-11,Pemasukan,penjualan,183984,Pemasukan - penjualan
2024-01-01,Pemasukan,penjualan,376323,Pemasukan - penjualan
2024-12-20,Pengeluaran,gaji,361043,Pengeluaran - gaji
2024-12-25,Pengeluaran,transportasi,376233,Pengeluaran - transportasi
2024-12-29,Pengeluaran,listrik,495607,Pengeluaran - listrik
2024-01-15,Pengeluaran,perlengkapan,213200,Pengeluaran - perlengkapan
2024-10-25,Pengeluaran,transportasi,35478,Pengeluaran - transportasi
2024-03-04,Pemasukan,penjualan,345042,Pemasukan - penjualan
2024-05-04,Pengeluaran,gaji,266476,Pengeluaran - gaji
2024-01-04,Pemasukan,penjualan,165339,Pemasukan - penjualan
2024-09-10,Pemasukan,penjualan,425871,Pemasukan - penjualan
2024-07-17,Pengeluaran,gaji,408449,Pengeluaran - gaji
2024-09-13,Pemasukan,penjualan,468384,Pemasukan - penjualan
2024-07-05,Pengeluaran,bahan baku,388874,Pengeluaran - bahan baku
2024-05-27,Pengeluaran,listrik,252203,Pengeluaran - listrik
2024-05-30,Pemasukan,penjualan,91258,Pemasukan - penjualan
2024-12-30,Pengeluaran,gaji,349383,Pengeluaran - gaji
2024-10-12,Pengeluaran,bahan baku,365519,Pengeluaran - bahan baku
2024-11-15,Pengeluaran,transportasi,335852,Pengeluaran - transportasi
2024-08-14,Pengeluaran,bahan baku,57869,Pengeluaran - bahan baku
2024-08-02,Pengeluaran,listrik,33328,Pengeluaran - listrik
2024-05-30,Pengeluaran,gaji,378703,Pengeluaran - gaji
2024-08-01,Pengeluaran,transportasi,58272,Pengeluaran - transportasi
2024-05-31,Pengeluaran,bahan baku,98257,Pengeluaran - bahan baku
2024-10-09,Pengeluaran,bahan baku,112205,Pengeluaran - bahan baku
2024-12-12,Pemasukan,penjualan,112044,Pemasukan - penjualan
2024-06-16,Pengeluaran,bahan baku,467859,Pengeluaran - bahan baku
2024-12-04,Pemasukan,penjualan,424197,Pemasukan - penjualan
2024-06-10,Pengeluaran,transportasi,49209,Pengeluaran - transportasi
2024-01-12,Pengeluaran,gaji,387436,Pengeluaran - gaji
2024-06-06,Pengeluaran,transportasi,231924,Pengeluaran - transportasi
2024-04-28,Pengeluaran,transportasi,164650,Pengeluaran - transportasi
2024-12-19,Pengeluaran,perlengkapan,163454,Pengeluaran - perlengkapan
2024-11-15,Pengeluaran,perlengkapan,57927,Pengeluaran - perlengkapan
2024-03-15,Pengeluaran,bahan baku,202851,Pengeluaran - bahan baku
2024-11-22,Pemasukan,penjualan,250410,Pemasukan - penjualan
2024-04-01,Pengeluaran,transportasi,51124,Pengeluaran - transportasi
2024-02-11,Pemasukan,penjualan,260211,Pemasukan - penjualan
2024-05-19,Pengeluaran,listrik,200473,Pengeluaran - listrik
2024-11-02,Pemasukan,penjualan,496647,Pemasukan - penjualan
2024-08-11,Pemasukan,penjualan,365831,Pemasukan - penjualan
2024-11-16,Pengeluaran,gaji,56974,Pengeluaran - gaji
2024-09-27,Pengeluaran,gaji,336559,Pengeluaran - gaji
2024-08-10,Pemasukan,penjualan,189870,Pemasukan - penjualan
2024-06-01,Pengeluaran,gaji,266960,Pengeluaran - gaji
2024-08-03,Pengeluaran,transportasi,246449,Pengeluaran - transportasi
2024-08-13,Pengeluaran,listrik,463303,Pengeluaran - listrik
2024-10-09,Pemasukan,penjualan,59749,Pemasukan - penjualan
2024-09-30,Pengeluaran,transportasi,34792,Pengeluaran - transportasi
2024-02-26,Pemasukan,penjualan,69847,Pemasukan - penjualan
2024-09-10,Pemasukan,penjualan,364030,Pemasukan - penjualan
2024-04-07,Pengeluaran,listrik,201144,Pengeluaran - listrik
2024-07-11,Pengeluaran,transportasi,380731,Pengeluaran - transportasi
2024-10-24,Pengeluaran,listrik,257350,Pengeluaran - listrik
2024-07-08,Pemasukan,penjualan,218726,Pemasukan - penjualan
2024-12-11,Pengeluaran,bahan baku,192364,Pengeluaran - bahan baku
2024-03-29,Pengeluaran,transportasi,437515,Pengeluaran - transportasi
2024-12-06,Pengeluaran,bahan baku,210073,Pengeluaran - bahan baku
2024-10-15,Pengeluaran,transportasi,403672,Pengeluaran - transportasi
2024-07-10,Pengeluaran,listrik,445515,Pengeluaran - listrik
2024-06-02,Pemasukan,penjualan,427026,Pemasukan - penjualan
2024-03-26,Pemasukan,penjualan,405509,Pemasukan - penjualan
2024-06-23,Pengeluaran,gaji,46354,Pengeluaran - gaji
2024-05-26,Pengeluaran,listrik,274960,Pengeluaran - listrik
2024-01-21,Pemasukan,penjualan,389416,Pemasukan - penjualan
2024-02-12,Pengeluaran,listrik,158073,Pengeluaran - listrik
2024-07-21,Pemasukan,penjualan,343846,Pemasukan - penjualan
2024-02-12,Pengeluaran,transportasi,108545,Pengeluaran - transportasi
2024-03-02,Pengeluaran,perlengkapan,302620,Pengeluaran - perlengkapan
2024-12-15,Pemasukan,penjualan,86642,Pemasukan - penjualan
2024-05-12,Pengeluaran,transportasi,114945,Pengeluaran - transportasi
2024-11-12,Pengeluaran,bahan baku,404211,Pengeluaran - bahan baku
2024-06-14,Pengeluaran,bahan baku,373127,Pengeluaran - bahan baku
2024-09-18,Pengeluaran,transportasi,367675,Pengeluaran - transportasi
2024-03-05,Pemasukan,penjualan,50136,Pemasukan - penjualan
2024-04-14,Pemasukan,penjualan,115018,Pemasukan - penjualan
2024-08-03,Pengeluaran,gaji,34035,Pengeluaran - gaji
2024-08-10,Pengeluaran,transportasi,394820,Pengeluaran - transportasi
2024-06-30,Pengeluaran,bahan baku,379269,Pengeluaran - bahan baku
2024-11-15,Pengeluaran,perlengkapan,491559,Pengeluaran - perlengkapan
2024-03-31,Pemasukan,penjualan,186267,Pemasukan - penjualan
2024-08-01,Pengeluaran,perlengkapan,117834,Pengeluaran - perlengkapan
2024-10-11,Pemasukan,penjualan,53163,Pemasukan - penjualan
2024-08-23,Pemasukan,penjualan,296514,Pemasukan - penjualan
2024-02-19,Pemasukan,penjualan,293353,Pemasukan - penjualan
2024-08-05,Pemasukan,penjualan,427747,Pemasukan - penjualan
2024-10-09,Pemasukan,penjualan,354647,Pemasukan - penjualan
2024-06-15,Pemasukan,penjualan,16183,Pemasukan - penjualan
2024-10-02,Pemasukan,penjualan,116091,Pemasukan - penjualan
2024-03-24,Pengeluaran,perlengkapan,236928,Pengeluaran - perlengkapan
2024-01-02,Pengeluaran,perlengkapan,86560,Pengeluaran - perlengkapan
2024-12-07,Pemasukan,penjualan,32420,Pemasukan - penjualan
2024-02-01,Pemasukan,penjualan,52436,Pemasukan - penjualan
2024-08-02,Pemasukan,penjualan,25598,Pemasukan - penjualan
2024-01-27,Pemasukan,penjualan,395729,Pemasukan - penjualan
2024-04-12,Pemasukan,penjualan,222814,Pemasukan - penjualan
2024-07-18,Pemasukan,penjualan,190856,Pemasukan - penjualan
2024-07-19,Pemasukan,penjualan,499342,Pemasukan - penjualan
2024-04-06,Pengeluaran,transportasi,452659,Pengeluaran - transportasi
2024-03-17,Pemasukan,penjualan,220355,Pemasukan - penjualan
2024-06-27,Pemasukan,penjualan,111411,Pemasukan - penjualan
2024-08-29,Pengeluaran,listrik,308937,Pengeluaran - listrik
2024-10-11,Pengeluaran,gaji,192151,Pengeluaran - gaji
2024-08-09,Pemasukan,penjualan,487334,Pemasukan - penjualan
2024-11-20,Pengeluaran,gaji,194491,Pengeluaran - gaji
2024-06-06,Pemasukan,penjualan,11467,Pemasukan - penjualan
2024-09-23,Pemasukan,penjualan,96121,Pemasukan - penjualan
2024-02-29,Pengeluaran,gaji,368922,Pengeluaran - gaji
2024-08-31,Pengeluaran,bahan baku,191695,Pengeluaran - bahan baku
2024-04-21,Pemasukan,penjualan,398273,Pemasukan - penjualan
2024-06-04,Pemasukan,penjualan,389113,Pemasukan - penjualan
2024-07-29,Pemasukan,penjualan,73859,Pemasukan - penjualan
2024-10-29,Pemasukan,penjualan,497137,Pemasukan - penjualan
2024-04-24,Pemasukan,penjualan,254291,Pemasukan - penjualan
2024-07-13,Pengeluaran,listrik,23338,Pengeluaran - listrik
2024-08-03,Pengeluaran,gaji,269189,Pengeluaran - gaji
2024-11-06,Pemasukan,penjualan,459399,Pemasukan - penjualan
2024-04-30,Pengeluaran,gaji,230801,Pengeluaran - gaji
2024-07-13,Pengeluaran,listrik,167596,Pengeluaran - listrik
2024-10-09,Pemasukan,penjualan,200414,Pemasukan - penjualan
2024-11-01,Pengeluaran,bahan baku,409714,Pengeluaran - bahan baku
2024-09-28,Pemasukan,penjualan,474385,Pemasukan - penjualan
2024-04-14,Pemasukan,penjualan,239307,Pemasukan - penjualan
2024-04-17,Pengeluaran,perlengkapan,64878,Pengeluaran - perlengkapan
2024-06-14,Pemasukan,penjualan,161018,Pemasukan - penjualan
2024-04-25,Pengeluaran,perlengkapan,29965,Pengeluaran - perlengkapan
2024-12-19,Pengeluaran,listrik,159400,Pengeluaran - listrik
2024-11-07,Pengeluaran,transportasi,13632,Pengeluaran - transportasi
2024-03-02,Pengeluaran,bahan baku,89128,Pengeluaran - bahan baku
2024-05-25,Pemasukan,penjualan,284148,Pemasukan - penjualan
2024-12-09,Pengeluaran,perlengkapan,474346,Pengeluaran - perlengkapan
2024-04-27,Pengeluaran,perlengkapan,460887,Pengeluaran - perlengkapan
2024-06-20,Pemasukan,penjualan,482255,Pemasukan - penjualan
2024-02-18,Pemasukan,penjualan,411451,Pemasukan - penjualan
2024-02-14,Pengeluaran,listrik,315293,Pengeluaran - listrik
2024-01-30,Pengeluaran,perlengkapan,381096,Pengeluaran - perlengkapan
2024-07-22,Pengeluaran,transportasi,40263,Pengeluaran - transportasi
2024-10-16,Pemasukan,penjualan,339436,Pemasukan - penjualan
2024-09-04,Pemasukan,penjualan,374034,Pemasukan - penjualan
2024-04-13,Pemasukan,penjualan,71003,Pemasukan - penjualan
2024-12-24,Pemasukan,penjualan,209616,Pemasukan - penjualan
2024-01-12,Pemasukan,penjualan,148826,Pemasukan - penjualan
2024-02-04,Pengeluaran,listrik,238828,Pengeluaran - listrik
2024-10-27,Pemasukan,penjualan,34068,Pemasukan - penjualan
2024-02-18,Pemasukan,penjualan,492252,Pemasukan - penjualan
2024-06-06,Pengeluaran,perlengkapan,428993,Pengeluaran - perlengkapan
2024-09-08,Pemasukan,penjualan,333851,Pemasukan - penjualan
2024-03-05,Pemasukan,penjualan,137640,Pemasukan - penjualan
2024-11-29,Pemasukan,penjualan,41529,Pemasukan - penjualan
2024-03-15,Pemasukan,penjualan,15919,Pemasukan - penjualan
2024-01-14,Pemasukan,penjualan,212437,Pemasukan - penjualan
2024-03-09,Pemasukan,penjualan,475959,Pemasukan - penjualan
2024-07-19,Pengeluaran,bahan baku,467142,Pengeluaran - bahan baku
2024-07-22,Pengeluaran,perlengkapan,354172,Pengeluaran - perlengkapan
2024-10-19,Pemasukan,penjualan,17867,Pemasukan - penjualan
2024-11-26,Pemasukan,penjualan,99194,Pemasukan - penjualan
2024-09-21,Pengeluaran,gaji,181088,Pengeluaran - gaji
2024-12-22,Pengeluaran,transportasi,484646,Pengeluaran - transportasi
2024-04-22,Pengeluaran,listrik,67544,Pengeluaran - listrik
2024-10-19,Pemasukan,penjualan,325797,Pemasukan - penjualan
2024-02-10,Pemasukan,penjualan,13973,Pemasukan - penjualan
2024-05-02,Pemasukan,penjualan,58482,Pemasukan - penjualan
2024-12-20,Pemasukan,penjualan,421522,Pemasukan - penjualan
2024-01-04,Pemasukan,penjualan,162796,Pemasukan - penjualan
2024-04-26,Pengeluaran,gaji,418894,Pengeluaran - gaji
2024-08-24,Pemasukan,penjualan,426089,Pemasukan - penjualan
2024-04-07,Pengeluaran,bahan baku,417428,Pengeluaran - bahan baku
2024-10-08,Pengeluaran,bahan baku,41409,Pengeluaran - bahan baku
2024-06-08,Pemasukan,penjualan,405223,Pemasukan - penjualan
2024-05-24,Pemasukan,penjualan,31958,Pemasukan - penjualan
2024-09-11,Pemasukan,penjualan,348426,Pemasukan - penjualan
2024-06-27,Pengeluaran,transportasi,83231,Pengeluaran - transportasi
2024-07-26,Pemasukan,penjualan,413380,Pemasukan - penjualan
2024-02-11,Pemasukan,penjualan,422432,Pemasukan - penjualan
2024-07-20,Pemasukan,penjualan,119614,Pemasukan - penjualan
2024-12-08,Pengeluaran,gaji,465056,Pengeluaran - gaji
2024-02-17,Pengeluaran,listrik,136713,Pengeluaran - listrik
2024-07-21,Pengeluaran,gaji,412581,Pengeluaran - gaji
2024-02-02,Pemasukan,penjualan,53578,Pemasukan - penjualan
2024-01-30,Pemasukan,penjualan,22467,Pemasukan - penjualan
2024-10-29,Pemasukan,penjualan,310835,Pemasukan - penjualan
2024-03-27,Pemasukan,penjualan,397500,Pemasukan - penjualan
2024-03-10,Pemasukan,penjualan,148486,Pemasukan - penjualan
2024-07-26,Pengeluaran,transportasi,282033,Pengeluaran - transportasi
2024-01-13,Pengeluaran,bahan baku,25002,Pengeluaran - bahan baku
2024-08-29,Pengeluaran,bahan baku,388641,Pengeluaran - bahan baku
2024-04-05,Pemasukan,penjualan,294219,Pemasukan - penjualan
2024-03-17,Pemasukan,penjualan,429225,Pemasukan - penjualan
2024-05-03,Pengeluaran,bahan baku,63619,Pengeluaran - bahan baku
2024-01-10,Pemasukan,penjualan,68119,Pemasukan - penjualan
2024-04-18,Pemasukan,penjualan,468490,Pemasukan - penjualan
2024-01-09,Pengeluaran,gaji,436427,Pengeluaran - gaji
2024-10-28,Pemasukan,penjualan,457237,Pemasukan - penjualan
2024-11-12,Pemasukan,penjualan,166447,Pemasukan - penjualan
2024-01-04,Pengeluaran,transportasi,198308,Pengeluaran - transportasi
2024-12-09,Pengeluaran,bahan baku,387297,Pengeluaran - bahan baku
2024-08-16,Pemasukan,penjualan,395178,Pemasukan - penjualan
2024-10-18,Pemasukan,penjualan,361148,Pemasukan - penjualan
2024-10-11,Pemasukan,penjualan,266469,Pemasukan - penjualan
2024-10-22,Pengeluaran,perlengkapan,394948,Pengeluaran - perlengkapan
2024-08-22,Pengeluaran,listrik,113937,Pengeluaran - listrik
2024-01-01,Pengeluaran,bahan baku,77520,Pengeluaran - bahan baku
2024-05-25,Pengeluaran,transportasi,437083,Pengeluaran - transportasi
2024-08-05,Pemasukan,penjualan,69581,Pemasukan - penjualan
2024-12-03,Pengeluaran,bahan baku,185192,Pengeluaran - bahan baku
2024-03-20,Pengeluaran,transportasi,214146,Pengeluaran - transportasi
2024-06-19,Pengeluaran,perlengkapan,232819,Pengeluaran - perlengkapan
2024-12-16,Pemasukan,penjualan,398385,Pemasukan - penjualan
2024-09-13,Pengeluaran,transportasi,241919,Pengeluaran - transportasi
2024-04-25,Pengeluaran,perlengkapan,251912,Pengeluaran - perlengkapan
2024-11-06,Pemasukan,penjualan,13540,Pemasukan - penjualan
2024-07-02,Pengeluaran,perlengkapan,104854,Pengeluaran - perlengkapan
2024-03-16,Pemasukan,penjualan,281919,Pemasukan - penjualan
2024-05-08,Pengeluaran,perlengkapan,199319,Pengeluaran - perlengkapan
2024-06-10,Pemasukan,penjualan,30577,Pemasukan - penjualan
2024-12-10,Pemasukan,penjualan,462062,Pemasukan - penjualan
2024-05-11,Pemasukan,penjualan,467638,Pemasukan - penjualan
2024-08-24,Pemasukan,penjualan,325107,Pemasukan - penjualan
2024-07-18,Pengeluaran,transportasi,108579,Pengeluaran - transportasi
2024-12-19,Pengeluaran,bahan baku,28757,Pengeluaran - bahan baku
2024-11-19,Pemasukan,penjualan,308512,Pemasukan - penjualan
2024-09-17,Pengeluaran,transportasi,449813,Pengeluaran - transportasi
2024-03-10,Pemasukan,penjualan,176936,Pemasukan - penjualan
2024-12-11,Pemasukan,penjualan,427594,Pemasukan - penjualan
2024-12-19,Pemasukan,penjualan,46413,Pemasukan - penjualan
2024-06-20,Pengeluaran,transportasi,422920,Pengeluaran - transportasi
2024-05-15,Pemasukan,penjualan,390472,Pemasukan - penjualan
2024-08-03,Pemasukan,penjualan,172741,Pemasukan - penjualan
2024-03-17,Pemasukan,penjualan,336096,Pemasukan - penjualan
2024-12-01,Pemasukan,penjualan,354519,Pemasukan - penjualan
2024-01-17,Pengeluaran,bahan baku,227666,Pengeluaran - bahan baku
2024-02-12,Pengeluaran,gaji,66508,Pengeluaran - gaji
2024-11-19,Pemasukan,penjualan,30434,Pemasukan - penjualan
2024-04-30,Pengeluaran,gaji,237897,Pengeluaran - gaji
2024-02-09,Pemasukan,penjualan,153351,Pemasukan - penjualan
2024-07-06,Pemasukan,penjualan,358544,Pemasukan - penjualan
2024-10-27,Pengeluaran,listrik,114449,Pengeluaran - listrik
2024-02-10,Pemasukan,penjualan,477405,Pemasukan - penjualan
2024-05-15,Pemasukan,penjualan,118171,Pemasukan - penjualan
2024-10-06,Pemasukan,penjualan,57551,Pemasukan - penjualan
2024-09-26,Pemasukan,penjualan,83417,Pemasukan - penjualan
2024-03-22,Pemasukan,penjualan,187512,Pemasukan - penjualan
2024-03-25,Pemasukan,penjualan,436799,Pemasukan - penjualan
2024-06-27,Pengeluaran,transportasi,165364,Pengeluaran - transportasi
2024-02-24,Pengeluaran,bahan baku,45492,Pengeluaran - bahan baku
2024-07-11,Pengeluaran,listrik,325463,Pengeluaran - listrik
2024-08-16,Pengeluaran,perlengkapan,115858,Pengeluaran - perlengkapan
2024-09-09,Pemasukan,penjualan,192456,Pemasukan - penjualan
2024-06-12,Pengeluaran,transportasi,364522,Pengeluaran - transportasi
2024-09-05,Pemasukan,penjualan,49479,Pemasukan - penjualan
2024-09-17,Pemasukan,penjualan,451372,Pemasukan - penjualan
2024-05-29,Pengeluaran,gaji,32819,Pengeluaran - gaji
2024-10-12,Pemasukan,penjualan,189585,Pemasukan - penjualan
2024-10-15,Pemasukan,penjualan,436095,Pemasukan - penjualan
2024-03-13,Pemasukan,penjualan,499997,Pemasukan - penjualan
2024-02-10,Pengeluaran,bahan baku,375158,Pengeluaran - bahan baku
2024-07-20,Pengeluaran,transportasi,68255,Pengeluaran - transportasi
2024-08-07,Pengeluaran,perlengkapan,57353,Pengeluaran - perlengkapan
2024-06-27,Pengeluaran,transportasi,58603,Pengeluaran - transportasi
2024-03-22,Pengeluaran,perlengkapan,355480,Pengeluaran - perlengkapan
2024-01-10,Pengeluaran,bahan baku,13586,Pengeluaran - bahan baku
2024-08-09,Pemasukan,penjualan,103573,Pemasukan - penjualan
2024-05-28,Pengeluaran,listrik,331061,Pengeluaran - listrik
2024-11-18,Pengeluaran,gaji,398842,Pengeluaran - gaji
2024-06-04,Pemasukan,penjualan,168001,Pemasukan - penjualan
2024-12-15,Pemasukan,penjualan,360770,Pemasukan - penjualan
2024-10-11,Pemasukan,penjualan,158516,Pemasukan - penjualan
2024-07-03,Pengeluaran,listrik,169227,Pengeluaran - listrik
2024-01-01,Pengeluaran,listrik,35456,Pengeluaran - listrik
2024-09-15,Pemasukan,penjualan,174092,Pemasukan - penjualan
2024-06-21,Pengeluaran,transportasi,88041,Pengeluaran - transportasi
2024-02-02,Pengeluaran,listrik,109467,Pengeluaran - listrik
2024-12-27,Pemasukan,penjualan,26211,Pemasukan - penjualan
2024-08-12,Pengeluaran,transportasi,105413,Pengeluaran - transportasi
2024-04-20,Pengeluaran,listrik,308173,Pengeluaran - listrik
2024-08-26,Pengeluaran,bahan baku,133654,Pengeluaran - bahan baku
2024-07-27,Pemasukan,penjualan,31758,Pemasukan - penjualan
2024-10-20,Pengeluaran,gaji,181387,Pengeluaran - gaji
2024-12-15,Pemasukan,penjualan,187192,Pemasukan - penjualan
2024-07-28,Pengeluaran,transportasi,23239,Pengeluaran - transportasi
2024-12-31,Pengeluaran,gaji,457069,Pengeluaran - gaji
2024-04-25,Pengeluaran,gaji,48711,Pengeluaran - gaji
2024-03-07,Pengeluaran,transportasi,232720,Pengeluaran - transportasi
2024-10-11,Pengeluaran,transportasi,430228,Pengeluaran - transportasi
2024-02-07,Pemasukan,penjualan,324189,Pemasukan - penjualan
2024-03-26,Pemasukan,penjualan,152610,Pemasukan - penjualan
2024-12-04,Pengeluaran,bahan baku,139988,Pengeluaran - bahan baku
2024-08-02,Pengeluaran,transportasi,44824,Pengeluaran - transportasi
2024-09-09,Pengeluaran,perlengkapan,195387,Pengeluaran - perlengkapan
2024-07-10,Pemasukan,penjualan,367573,Pemasukan - penjualan
2024-06-03,Pengeluaran,perlengkapan,285560,Pengeluaran - perlengkapan
2024-09-23,Pengeluaran,perlengkapan,20012,Pengeluaran - perlengkapan
2024-12-20,Pengeluaran,gaji,31998,Pengeluaran - gaji
2024-10-14,Pemasukan,penjualan,55472,Pemasukan - penjualan
2024-07-05,Pemasukan,penjualan,444760,Pemasukan - penjualan
2024-10-09,Pemasukan,penjualan,442638,Pemasukan - penjualan
2024-08-02,Pemasukan,penjualan,215285,Pemasukan - penjualan
2024-02-11,Pengeluaran,bahan baku,314546,Pengeluaran - bahan baku
2024-12-10,Pemasukan,penjualan,64050,Pemasukan - penjualan
2024-10-29,Pemasukan,penjualan,36021,Pemasukan - penjualan
2024-10-14,Pengeluaran,transportasi,333780,Pengeluaran - transportasi
2024-08-11,Pengeluaran,listrik,93166,Pengeluaran - listrik
2024-11-02,Pengeluaran,perlengkapan,390595,Pengeluaran - perlengkapan
2024-12-07,Pengeluaran,gaji,143549,Pengeluaran - gaji
2024-09-20,Pemasukan,penjualan,174201,Pemasukan - penjualan
2024-09-30,Pemasukan,penjualan,347566,Pemasukan - penjualan
2024-01-25,Pemasukan,penjualan,148982,Pemasukan - penjualan
2024-12-11,Pemasukan,penjualan,480552,Pemasukan - penjualan
2024-09-13,Pengeluaran,bahan baku,231569,Pengeluaran - bahan baku
2024-08-10,Pengeluaran,perlengkapan,177849,Pengeluaran - perlengkapan
2024-10-16,Pemasukan,penjualan,131460,Pemasukan - penjualan
2024-09-22,Pemasukan,penjualan,179599,Pemasukan - penjualan
2024-04-15,Pemasukan,penjualan,192592,Pemasukan - penjualan
2024-08-09,Pengeluaran,bahan baku,348207,Pengeluaran - bahan baku
2024-02-06,Pemasukan,penjualan,75476,Pemasukan - penjualan
2024-09-29,Pemasukan,penjualan,144837,Pemasukan - penjualan
2024-09-23,Pengeluaran,listrik,377990,Pengeluaran - listrik
2024-07-26,Pengeluaran,transportasi,64800,Pengeluaran - transportasi
2024-11-20,Pengeluaran,listrik,399525,Pengeluaran - listrik
2024-08-05,Pengeluaran,gaji,495275,Pengeluaran - gaji
2024-04-04,Pemasukan,penjualan,31289,Pemasukan - penjualan
2024-01-28,Pemasukan,penjualan,246949,Pemasukan - penjualan
2024-04-06,Pemasukan,penjualan,234120,Pemasukan - penjualan
2024-10-21,Pengeluaran,listrik,348497,Pengeluaran - listrik
2024-11-22,Pemasukan,penjualan,21881,Pemasukan - penjualan
2024-03-22,Pemasukan,penjualan,422588,Pemasukan - penjualan
2024-01-24,Pemasukan,penjualan,187656,Pemasukan - penjualan
2024-03-24,Pengeluaran,transportasi,69860,Pengeluaran - transportasi
2024-06-25,Pemasukan,penjualan,240401,Pemasukan - penjualan
2024-05-22,Pemasukan,penjualan,136417,Pemasukan - penjualan
2024-11-02,Pemasukan,penjualan,127375,Pemasukan - penjualan
2024-11-16,Pemasukan,penjualan,287013,Pemasukan - penjualan
2024-05-05,Pengeluaran,transportasi,364594,Pengeluaran - transportasi
2024-12-28,Pemasukan,penjualan,383615,Pemasukan - penjualan
2024-04-09,Pemasukan,penjualan,490557,Pemasukan - penjualan
2024-05-08,Pengeluaran,gaji,167196,Pengeluaran - gaji
2024-07-04,Pengeluaran,bahan baku,235563,Pengeluaran - bahan baku
2024-11-01,Pengeluaran,perlengkapan,354618,Pengeluaran - perlengkapan
2024-04-24,Pemasukan,penjualan,281585,Pemasukan - penjualan
